FID,Prov_ID,Province,Dist_ID,District,Sect_ID,Sector,nightlight_sum,landscan_pop,mpi_headcount,mpi_intensity,mpi,,,,,,,,,,,,,,
53,2,Southern Province,22,Gisagara,2209,Mukindo,0.916949227,29416,0.571,0.457,0.261,,,,,,,,,,,,,,
54,2,Southern Province,22,Gisagara,2210,Musha,5.098081158,26667,0.505,0.449,0.227,,,,,,,,,,,,,,
55,2,Southern Province,22,Gisagara,2211,Ndora,63.54427288,27573,0.481,0.458,0.22,,,,,,,,,,,,,,
56,2,Southern Province,22,Gisagara,2212,Nyanza,1.03861099,17782,0.554,0.456,0.253,,,,,,,,,,,,,,
57,2,Southern Province,22,Gisagara,2213,Save,81.75368197,29954,0.353,0.432,0.153,,,,,,,,,,,,,,
58,2,Southern Province,23,Nyaruguru,2301,Busanze,1.005182736,32288,0.506,0.455,0.23,,,,,,,,,,,,,,
59,2,Southern Province,23,Nyaruguru,2302,Cyahinda,1.727466169,27005,0.465,0.454,0.211,,,,,,,,,,,,,,
60,2,Southern Province,23,Nyaruguru,2303,Kibeho,59.70491105,24117,0.353,0.452,0.159,,,,,,,,,,,,,,
61,2,Southern Province,23,Nyaruguru,2304,Kivu,1.652069205,17258,0.578,0.45,0.26,,,,,,,,,,,,,,
62,2,Southern Province,23,Nyaruguru,2305,Mata,5.28932078,14236,0.309,0.459,0.142,,,,,,,,,,,,,,
63,2,Southern Province,23,Nyaruguru,2306,Muganza,3.565838663,16729,0.544,0.452,0.246,,,,,,,,,,,,,,
64,2,Southern Province,23,Nyaruguru,2307,Munini,3.609425564,18855,0.438,0.455,0.2,,,,,,,,,,,,,,
65,2,Southern Province,23,Nyaruguru,2308,Ngera,2.216638935,24894,0.388,0.436,0.169,,,,,,,,,,,,,,
66,2,Southern Province,23,Nyaruguru,2309,Ngoma,1.624867418,27815,0.469,0.452,0.212,,,,,,,,,,,,,,
67,2,Southern Province,23,Nyaruguru,2310,Nyabimata,6.04640074,19016,0.603,0.464,0.28,,,,,,,,,,,,,,
68,2,Southern Province,23,Nyaruguru,2311,Nyagisozi,1.080628079,18649,0.403,0.439,0.177,,,,,,,,,,,,,,
69,2,Southern Province,23,Nyaruguru,2312,Ruheru,1.473336247,35011,0.557,0.466,0.259,,,,,,,,,,,,,,
70,2,Southern Province,23,Nyaruguru,2313,Ruramba,1.373512366,23250,0.359,0.449,0.161,,,,,,,,,,,,,,
71,2,Southern Province,23,Nyaruguru,2314,Rusenge,2.617241798,24914,0.417,0.455,0.19,,,,,,,,,,,,,,
72,2,Southern Province,24,Huye,2401,Gishamvu,3.087273335,8849,0.382,0.45,0.172,,,,,,,,,,,,,,
73,2,Southern Province,24,Huye,2402,Huye,19.7369081,18975,0.309,0.441,0.136,,,,,,,,,,,,,,
74,2,Southern Province,24,Huye,2403,Karama,3.434173715,19749,0.344,0.44,0.152,,,,,,,,,,,,,,
75,2,Southern Province,24,Huye,2404,Kigoma,8.133275273,29985,0.374,0.449,0.168,,,,,,,,,,,,,,
76,2,Southern Province,24,Huye,2405,Kinazi,13.37315114,30423,0.432,0.451,0.195,,,,,,,,,,,,,,
77,2,Southern Province,24,Huye,2406,Maraba,3.699933828,22624,0.357,0.442,0.158,,,,,,,,,,,,,,
78,2,Southern Province,24,Huye,2407,Mbazi,36.54841996,40578,0.289,0.433,0.125,,,,,,,,,,,,,,
79,2,Southern Province,24,Huye,2408,Mukura,23.95292311,23300,0.406,0.458,0.186,,,,,,,,,,,,,,
80,2,Southern Province,24,Huye,2409,Ngoma,356.0267246,42611,0.121,0.423,0.051,,,,,,,,,,,,,,
81,2,Southern Province,24,Huye,2410,Ruhashya,11.45001155,28135,0.349,0.436,0.152,,,,,,,,,,,,,,
82,2,Southern Province,24,Huye,2411,Rusatira,7.799222109,25717,0.383,0.444,0.17,,,,,,,,,,,,,,
83,2,Southern Province,24,Huye,2412,Rwaniro,2.159279068,23415,0.405,0.443,0.179,,,,,,,,,,,,,,
84,2,Southern Province,24,Huye,2413,Simbi,4.132501877,27207,0.35,0.436,0.153,,,,,,,,,,,,,,
85,2,Southern Province,24,Huye,2414,Tumba,92.38847285,26960,0.213,0.436,0.093,,,,,,,,,,,,,,
86,2,Southern Province,25,Nyamagabe,2501,Buruhukiro,8.766311278,26041,0.504,0.456,0.23,,,,,,,,,,,,,,
87,2,Southern Province,25,Nyamagabe,2502,Cyanika,11.59328667,32577,0.301,0.44,0.132,,,,,,,,,,,,,,
88,2,Southern Province,25,Nyamagabe,2503,Gasaka,197.536893,45341,0.232,0.433,0.1,,,,,,,,,,,,,,
89,2,Southern Province,25,Nyamagabe,2504,Gatare,1.703030335,15902,0.462,0.448,0.207,,,,,,,,,,,,,,
90,2,Southern Province,25,Nyamagabe,2505,Kaduha,50.60314124,24361,0.419,0.456,0.191,,,,,,,,,,,,,,
91,2,Southern Province,25,Nyamagabe,2506,Kamegeri,2.899751216,10507,0.413,0.433,0.179,,,,,,,,,,,,,,
92,2,Southern Province,25,Nyamagabe,2507,Kibirizi,10.74806873,27925,0.341,0.441,0.15,,,,,,,,,,,,,,
93,2,Southern Province,25,Nyamagabe,2508,Kibumbwe,10.10083667,15910,0.396,0.445,0.176,,,,,,,,,,,,,,
94,2,Southern Province,25,Nyamagabe,2509,Kitabi,6.427152454,27464,0.467,0.452,0.211,,,,,,,,,,,,,,
95,2,Southern Province,25,Nyamagabe,2510,Mbazi,1.231462572,13374,0.314,0.433,0.136,,,,,,,,,,,,,,
96,2,Southern Province,25,Nyamagabe,2511,Mugano,3.655582849,19885,0.419,0.456,0.191,,,,,,,,,,,,,,
97,2,Southern Province,25,Nyamagabe,2512,Musange,1.617804941,20658,0.396,0.442,0.175,,,,,,,,,,,,,,
98,2,Southern Province,25,Nyamagabe,2513,Musebeya,30.59521416,18616,0.434,0.448,0.195,,,,,,,,,,,,,,
